zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
959,18.38485,-66.15583000000001,Bayamon,PR,Puerto Rico,1,,47459,3042.5,72021,Bayamón,"{'72021': 97.64, '72061': 1.88, '72135': 0.36, '72137': 0.12}",Bayamón|Guaynabo|Toa Alta|Toa Baja,72021|72061|72135|72137,False,0,America/Puerto_Rico
960,18.41701,-66.14446,Bayamon,PR,Puerto Rico,1,,2221,751.8,72021,Bayamón,{'72021': 100},Bayamón,72021,False,0,America/Puerto_Rico
961,18.41011,-66.16538,Bayamon,PR,Puerto Rico,1,,30784,2419.3,72021,Bayamón,"{'72021': 98.88, '72033': 1.12}",Bayamón|Cataño,72021|72033,False,0,America/Puerto_Rico
962,18.43904,-66.13928,Catano,PR,Puerto Rico,1,,19593,2274.4,72033,Cataño,{'72033': 100},Cataño,72033,False,0,America/Puerto_Rico
965,18.43385,-66.11486,Guaynabo,PR,Puerto Rico,1,,7314,5230.2,72061,Guaynabo,"{'72033': 20.48, '72061': 79.52}",Guaynabo|Cataño,72061|72033,False,0,America/Puerto_Rico
966,18.402260000000002,-66.11757,Guaynabo,PR,Puerto Rico,1,,15710,1999.6,72061,Guaynabo,"{'72021': 3.12, '72061': 91.02, '72127': 5.86}",Guaynabo|San Juan|Bayamón,72061|72127|72021,False,0,America/Puerto_Rico
968,18.40617,-66.10127,Guaynabo,PR,Puerto Rico,1,,3554,2933.4,72061,Guaynabo,{'72061': 100},Guaynabo,72061,False,0,America/Puerto_Rico
969,18.36751,-66.10852,Guaynabo,PR,Puerto Rico,1,,42525,3338.3,72061,Guaynabo,"{'72021': 1.6, '72061': 84.94, '72127': 13.45}",Guaynabo|San Juan|Bayamón,72061|72127|72021,False,0,America/Puerto_Rico
971,18.32131,-66.11811,Guaynabo,PR,Puerto Rico,1,,26640,749.5,72061,Guaynabo,"{'72021': 0.33, '72061': 99.51, '72127': 0.16}",Guaynabo|Bayamón|San Juan,72061|72021|72127,False,0,America/Puerto_Rico
976,18.33844,-65.9921,Trujillo Alto,PR,Puerto Rico,1,,58893,1502.5,72139,Trujillo Alto,"{'72031': 2.87, '72127': 1.98, '72139': 95.15}",Trujillo Alto|Carolina|San Juan,72139|72031|72127,False,0,America/Puerto_Rico
979,18.43649,-66.01699,Carolina,PR,Puerto Rico,1,,15897,4207.9,72031,Carolina,{'72031': 100},Carolina,72031,False,0,America/Puerto_Rico
982,18.40992,-65.9917,Carolina,PR,Puerto Rico,1,,14241,4473.5,72031,Carolina,{'72031': 100},Carolina,72031,False,0,America/Puerto_Rico
983,18.418039999999998,-65.97632,Carolina,PR,Puerto Rico,1,,34798,4373.3,72031,Carolina,{'72031': 100},Carolina,72031,False,0,America/Puerto_Rico
985,18.40825,-65.94842,Carolina,PR,Puerto Rico,1,,31845,1734.9,72031,Carolina,{'72031': 100},Carolina,72031,False,0,America/Puerto_Rico
987,18.33935,-65.94313000000001,Carolina,PR,Puerto Rico,1,,57181,989.3,72031,Carolina,"{'72031': 99.42, '72139': 0.58}",Carolina|Trujillo Alto,72031|72139,False,0,America/Puerto_Rico
1001,42.06258,-72.6259,Agawam,MA,Massachusetts,1,,17621,562.8,25013,Hampden,{'25013': 100},Hampden,25013,False,0,America/New_York
1002,42.37492,-72.4621,Amherst,MA,Massachusetts,1,,30066,203.7,25015,Hampshire,"{'25011': 0.97, '25015': 99.03}",Hampshire|Franklin,25015|25011,False,0,America/New_York
1003,42.39192,-72.52479,Amherst,MA,Massachusetts,1,,11238,5629.7,25015,Hampshire,{'25015': 100},Hampshire,25015,False,0,America/New_York
1005,42.42018,-72.10615,Barre,MA,Massachusetts,1,,4991,44.3,25027,Worcester,{'25027': 100},Worcester,25027,False,0,America/New_York
1007,42.27875,-72.40035999999998,Belchertown,MA,Massachusetts,1,,14967,107.5,25015,Hampshire,{'25015': 100},Hampshire,25015,False,0,America/New_York
